24시블루밍동물병원,4.6,41건,"광주 북구 대자로 36 MVG빌딩 3층 304~306호, (지번) 운암동 439-1",062-416-7975,0
24시 노아동물메디컬센터,2.3,6건,"광주 동구 독립로 292, (지번) 대인동 320-1",062-222-0075,0
24시동물병원공감,2.4,15건,"광주 광산구 장신로 72, (지번) 장덕동 1658",062-716-2979,0
광주스카이동물메디컬센터,2.5,10건,"광주 서구 상무대로 879 3~5층, (지번) 쌍촌동 970-13",062-719-4275,0
광주동물메디컬센터,3.8,4건,"광주 광산구 북문대로420번길 206, (지번) 신창동 77-255",062-523-0075,0
다온동물병원,5.0,3건,"광주 광산구 하남대로 142, (지번) 월곡동 679-6",062-956-7566,0
수동물병원,5.0,7건,"광주 남구 서문대로 791-1, (지번) 주월동 387-2",062-653-1175,0
비타동물의료센터,4.6,5건,"광주 남구 봉선로 21 1층, (지번) 주월동 1192-3",062-675-7600,0
노아 동물종합병원,3.7,6건,"광주 남구 대남대로 407, (지번) 월산4동 930-18",062-363-4860,0
튼튼동물병원,4.9,15건,"광주 동구 중앙로 358 금호계림주상복합 상가동 149호, (지번) 계림동 100-11",062-511-7582,0
운남동물병원,5.0,5건,"광주 광산구 하남대로 273, (지번) 신가동 930-5",062-952-7588,0
한결동물의료센터,3.0,9건,"광주 서구 풍암순환로188번길 15, (지번) 풍암동 1137",062-652-8275,0
하남동물병원,5.0,2건,"광주 광산구 목련로 91-1, (지번) 월곡동 511-9",062-952-5446,0
빛고을동물의료센터,4.1,9건,"광주 북구 중문로 74, (지번) 우산동 609-3",062-419-7582,0
수완종합동물병원,2.3,3건,"광주 광산구 장신로 164, (지번) 수완동 1452",062-959-0975,0
아나푸게동물병원,2.6,5건,"광주 북구 설죽로 191, (지번) 용봉동 1402-6",062-524-3663,0
마음동물병원,4.7,9건,"광주 북구 첨단연신로91번길 30 1층 106, 107호, (지번) 신용동 710",062-571-1275,0
본펫동물병원,4.8,6건,"광주 서구 무진대로 945 1층, (지번) 광천동 38-20",062-447-8575,0
영재동물병원,5.0,2건,"광주 동구 필문대로 130-1, (지번) 산수동 542-62",062-527-8275,0
동행동물병원,3.4,5건,"광주 북구 설죽로 298, (지번) 오치동 785-6",062-251-7582,0
치유동물병원,3.4,5건,"광주 광산구 풍영로 189, (지번) 장덕동 1597",062-945-1275,0
전남대학교 동물병원,0.0,0건,"광주 북구 용봉로 77, (지번) 용봉동 300",,0
동물병원 다움,0.0,0건,"광주 북구 용봉로 16-1 1층, (지번) 신안동 472-1",062-419-2020,0
베스트종합동물병원,3.0,2건,"광주 서구 상무대로 866, (지번) 쌍촌동 975-4",062-375-5110,0
다솜동물병원,0.0,0건,"광주 남구 독립로 82, (지번) 백운동 348-1",062-676-0659,0
다나은동물병원,5.0,6건,"광주 광산구 첨단강변로99번길 34, (지번) 쌍암동 694-45",062-971-1275,0
은하수동물병원,5.0,7건,"광주 남구 서문대로 665 기호타워 1층, (지번) 진월동 264",062-716-4282,0
하나로동물병원,5.0,2건,"광주 서구 상무중앙로 101 1층, (지번) 치평동 1185-3",,0
광주동물병원,5.0,1건,"광주 광산구 상무대로 292, (지번) 송정동 770-4",062-945-8276,0
윌 동물외상센터,4.4,7건,"광주 서구 운천로 110-1 1~4층, (지번) 쌍촌동 1248-18",062-383-7595,0
