,병원이름,별점,리뷰수,주소,전화
0,서울동물메디컬센터,,,"('경기 광주시 오포읍 신현로 89 1층', '(지번) 오포읍 신현리 674')",031-8022-7582
1,바른동물병원,4.1,13건,"('경기 광주시 파발로 107', '(지번) 경안동 446-19')",031-762-8875
2,참좋은동물병원,2.3,4건,"('경기 광주시 오포읍 신현로 123 2층', '(지번) 오포읍 신현리 367-14')",031-713-0103
3,모란동물종합병원,3.0,2건,"('경기 광주시 파발로 161-1', '(지번) 경안동 96-6')",031-767-7581
4,광주동물병원,4.2,10건,"('경기 광주시 오포읍 양벌로 212', '(지번) 오포읍 양벌리 373-1')",031-763-8825
5,시민동물병원,5.0,2건,"('경기 광주시 순암로 54 도원빌딩', '(지번) 장지동 83-13')",031-765-4467
6,행복동물병원,4.0,4건,"('경기 광주시 곤지암읍 경충대로 702', '(지번) 곤지암읍 삼리 6-1')",031-761-9394
7,광주TNR동물병원,3.5,2건,"('경기 광주시 경안천로 144 1층', '(지번) 송정동 6-9')",031-798-7581
8,24시 모란동물메디컬센터 쌍령점,1.8,10건,"('경기 광주시 경충대로 1448', '(지번) 쌍령동 168-2')",031-765-1100
9,하하동물병원,4.4,8건,"('경기 광주시 태전동로 25 퍼스트타워 1층 104호', '(지번) 태전동 162-5')",031-766-3463
10,알프스동물병원,5.0,3건,"('경기 광주시 고불로 32 미미상가 107호', '(지번) 중대동 28-187')",031-761-1600
11,나비누리동물병원,3.6,8건,"('경기 광주시 중앙로 69-4', '(지번) 역동 27-9')",031-763-7583
12,이솝동물병원,3.7,3건,"('경기 광주시 초월읍 경충대로 1264', '(지번) 초월읍 대쌍령리 185-1')",031-768-8820
13,동현동물병원,3.0,2건,"('경기 광주시 경안천로 5 1층', '(지번) 송정동 64-29')",031-768-7599
14,그랜드동물병원,0.0,0건,"('경기 광주시 경안안길 5', '(지번) 경안동 123-7')",031-766-1475
15,푸른동물병원,5.0,4건,"('경기 광주시 고불로 54', '(지번) 중대동 17-10')",031-764-3033
16,곤지암동물병원,2.5,4건,"('경기 광주시 곤지암읍 곤지암로 70-14', '(지번) 곤지암읍 곤지암리 453-7')",031-769-5675
17,애플펫동물병원,1.5,2건,"('경기 광주시 오포읍 태재로 21', '(지번) 오포읍 신현리 709-27')",031-726-4801
18,안스영주동물병원,0.0,0건,"('경기 광주시 파발로151번길 4-2', '(지번) 경안동 97-11')",
19,강남동물메디컬센터,5.0,2건,"('경기 광주시 퇴촌면 천진암로 553 1층', '(지번) 퇴촌면 관음리 525-14')",
20,진영동물병원,5.0,2건,"('경기 광주시 곤지암읍 광여로 91 103호', '(지번) 곤지암읍 곤지암리 93-1')",031-768-5727
21,견우동물병원,3.0,2건,"('경기 광주시 태봉로 26 대한상가 101호', '(지번) 태전동 261-14')",031-767-0079
22,원동물병원,3.7,3건,"('경기 광주시 경안천로 131', '(지번) 송정동 8-6')",031-797-5528
23,분당에덴동물병원,2.0,4건,"('경기 광주시 오포읍 능평로 203', '(지번) 오포읍 능평리 166-1')",031-768-9339
24,우정동물병원,0.0,0건,"('경기 광주시 곤지암읍 대석동길 73', '(지번) 곤지암읍 곤지암리 394')",031-797-4755
25,한국영양전문동물병원,0.0,0건,"('경기 광주시 이배재로 338-2', '(지번) 목현동 249-6')",031-761-7675
26,협동동물병원,0.0,0건,"('경기 광주시 중앙로 96', '(지번) 역동 22-26')",031-761-2259
27,금강동물병원,0.0,0건,"('경기 광주시 중앙로 179 1층', '(지번) 송정동 113-28')",031-763-0170
28,정동물병원,4.0,8건,"('경기 성남시 중원구 희망로 375', '(지번) 상대원동 3005')",
29,휴동물의료센터,5.0,2건,"('경기 성남시 수정구 산성대로 309 고려빌딩 2층', '(지번) 신흥동 2475')",031-735-7582
30,해오름동물병원,0.0,0건,"('경기 성남시 중원구 희망로 402', '(지번) 금광동 113')",
31,25시동물병원,3.6,7건,"('경기 성남시 중원구 산성대로504번길 1', '(지번) 은행2동 1589')",031-731-0025
32,강남동물병원,3.0,2건,"('경기 성남시 중원구 광명로 341', '(지번) 금광2동 3661')",031-741-3012
33,상대원동물병원,0.0,0건,"('경기 성남시 중원구 희망로 350 1층', '(지번) 상대원동 2999-26')",031-733-1777
34,한국 동물의료원,0.0,0건,"('경기 성남시 중원구 희망로 360', '(지번) 상대원2동 2999-10')",031-744-8990
35,동물병원DR.정,5.0,3건,"('경기 성남시 중원구 산성대로 498', '(지번) 은행동 1633')",031-733-9325
36,지음동물의료센터,3.7,3건,"('경기 성남시 중원구 광명로 321 1층', '(지번) 금광동 3704')",031-735-0922
37,금광종합동물병원,2.3,3건,"('경기 성남시 수정구 산성대로 431', '(지번) 단대동 97-3')",031-731-5511
38,조은동물병원,5.0,2건,"('경기 성남시 중원구 광명로142번길 3 미래타운 상가 1층', '(지번) 성남동 2759')",031-741-1701
39,활기찬동물병원,5.0,6건,"('경기 성남시 분당구 장안로 39 한일빌딩 1층', '(지번) 분당동 90-1')",031-781-7525
