병원이름,별점,리뷰수,주소,전화,location_type
마음을 읽어주는 마음동물병원,5.0,3건,"대구 수성구 화랑로 16, (지번) 만촌동 414-9",053-741-7474,0
대구 시지종합동물병원,4.2,10건,"대구 수성구 달구벌대로 3014, (지번) 시지동 462-121",053-791-5945,0
24시 범어동물의료센터,,,"대구 수성구 달구벌대로 2354 1층, (지번) 수성동3가 10",053-716-7585,0
대구24시바른동물의료센터,,,"대구 달서구 와룡로 142 2층, (지번) 감삼동 280-5",053-571-0075,0
본동물메디컬센터 24시수성점,3.4,5건,"대구 수성구 달구벌대로 2545 1층, (지번) 만촌동 1036-4",053-634-7582,0
24시알파동물메디컬센터,4.0,4건,"대구 서구 서대구로 15 1,2층, (지번) 내당동 469-1",053-572-7585,0
탑스동물메디컬센터,3.7,18건,"대구 달서구 월배로 166 탑스빌딩, (지번) 상인동 1439-1",053-637-7501,0
본동물메디컬센터 외과동물병원,5.0,5건,"대구 달서구 월배로 165, (지번) 진천동 44-4",053-634-7582,0
박순석 동물메디컬센터,5.0,1건,"대구 남구 대명로 72 더원빌딩 2층, (지번) 대명동 1057",053-657-0959,0
죽전동물메디컬센터,2.1,15건,"대구 달서구 달구벌대로 1580 1,2,7층, (지번) 감삼동 140-32",053-567-7575,0
대구동물메디컬센터,,,"대구 수성구 동대구로 36, (지번) 지산동 1051",,0
플러스동물의료센터,4.5,11건,"대구 북구 중앙대로 526 2층, (지번) 칠성동2가 371-2",053-424-2455,0
박물관옆동물병원,5.0,6건,"대구 달서구 구마로 136 1층, (지번) 본동 821-1",053-526-8234,0
동인동물병원,3.7,3건,"대구 중구 국채보상로 724, (지번) 동인동4가 332",053-424-4311,0
대구24시 라이프동물의료센터,5.0,4건,"대구 달서구 달구벌대로 1601 1층, (지번) 감삼동 69-1",053-567-2475,0
25시죽곡동물병원,5.0,1건,"대구 달성군 다사읍 대실역남로 34 태양빌딩 204호, (지번) 다사읍 죽곡리 813",053-587-8765,0
마루동물병원,5.0,2건,"대구 수성구 청수로 101 1층, (지번) 황금동 889-6",053-768-1002,0
화원연합동물병원,4.8,4건,"대구 달성군 화원읍 사문진로 447, (지번) 화원읍 천내리 156-5",053-634-7975,0
경북대학교 수의과대학부속동물병원,3.0,4건,"대구 북구 대학로 80, (지번) 대현동 25",053-950-6898,0
조은동물의료원,3.9,7건,"대구 수성구 달구벌대로 2644, (지번) 만촌동 854-1",053-742-0075,0
현풍동물병원,1.0,1건,"대구 달성군 유가읍 테크노공원로 51 봉리타워 205호, (지번) 유가읍 봉리 613",053-614-3570,0
이스턴24시동물병원,5.0,4건,"대구 동구 반야월로 140, (지번) 신기동 179-5",053-964-0750,0
센트럴동물병원,4.6,11건,"대구 중구 달구벌대로 1943 대신이편한세상 상가동 2층, (지번) 대신동 1426",053-214-5577,0
메디펫동물병원,5.0,1건,"대구 수성구 동대구로 24, (지번) 지산동 1054-1",053-761-8875,0
닥터허동물병원,5.0,1건,"대구 수성구 명덕로 421, (지번) 수성동2가 60-1",053-752-7535,0
동천동물병원,3.8,4건,"대구 북구 동천로24길 3 1층, (지번) 동천동 909-4",053-323-8875,0
유니온동물의료센터,5.0,2건,"대구 수성구 청수로 135, (지번) 황금동 848-1",053-762-8899,0
이서동물병원,5.0,4건,"대구 달서구 구마로 243, (지번) 성당동 263-4",053-719-0205,0
원동물병원,5.0,3건,"대구 중구 동덕로8길 2, (지번) 대봉동 40-135",053-255-8275,0
선 동물병원,5.0,1건,"대구 수성구 화랑로 102, (지번) 만촌동 1328-13",053-746-0031,0
에피소드동물병원,5.0,9건,"대구 수성구 달구벌대로 2660 토라빌딩 1층, (지번) 만촌동 859-2",053-745-7975,0
포산동물병원,3.0,2건,"대구 달성군 현풍읍 비슬로 614-1, (지번) 현풍읍 원교리 60",053-616-2478,0
M수성메트로동물병원,5.0,4건,"대구 수성구 국채보상로 1006, (지번) 만촌동 950-1",053-755-8355,0
박영우안과동물병원,0.0,0건,"대구 중구 달구벌대로 2208, (지번) 대봉동 20-65",,0
태전동물병원,,,"대구 북구 칠곡중앙대로 373, (지번) 태전동 1068",053-357-7588,0
이솝동물병원,4.0,3건,"대구 달서구 비슬로 2692, (지번) 대곡동 7-6",053-631-0209,0
25시 종합동물병원,0.0,0건,"대구 달서구 월배로 330-1, (지번) 송현동 798-244",053-651-1101,0
제니스동물병원,5.0,2건,"대구 수성구 달구벌대로 2475, (지번) 범어동 167-18",053-756-8290,0
24시프라임동물병원,2.6,14건,"대구 달서구 비슬로 2746, (지번) 대곡동 964",053-631-9966,0
준동물병원,5.0,2건,"대구 북구 공항로 12, (지번) 복현동 209-1",053-475-0079,0
아프리카 연합동물병원,1.8,5건,"대구 북구 침산로 116, (지번) 침산동 241-1",053-291-3336,0
비슬동물병원,5.0,1건,"대구 달성군 유가읍 테크노상업로 120 엠쓰퀘어 1층 103호, (지번) 유가읍 봉리 619",053-616-2480,0
디에스동물메디컬,5.0,2건,"대구 달성군 다사읍 죽곡1길 13-3, (지번) 다사읍 죽곡리 808-5",053-593-2842,0
정동물병원,,,"대구 수성구 지산로 41, (지번) 지산동 1259-6",053-781-6566,0
범어동물병원,4.5,2건,"대구 수성구 범어로 119, (지번) 범어2동 147-35",053-751-9323,0
김박사의위드동물병원,5.0,4건,"대구 달서구 월배로 93, (지번) 진천동 576-1",053-639-0788,0
명곡역동물병원,4.3,11건,"대구 달성군 화원읍 비슬로 2490 1~2층, (지번) 화원읍 명곡리 213",053-633-7579,0
