,병원이름,별점,리뷰수,주소,전화
0,웰니스동물병원 대전복합터미널,4.6,9건,"대전 동구 동서대로 1689 3층, (지번) 용전동 63-3",042-624-6275
1,24아프리카동물메디컬센터,4.7,36건,"대전 서구 문정로 16, (지번) 탄방동 605",042-486-7581
2,대전종합동물병원,4.3,4건,"대전 서구 대덕대로168번길 26, (지번) 갈마동 1438",042-532-7588
3,24시성심동물메디컬센터,3.9,39건,"대전 유성구 계룡로 131, (지번) 봉명동 548-11",042-719-7566
4,쿨펫동물병원 탄방점,4.1,12건,"대전 서구 문정로 77 로데오타운 1층 152~154호, (지번) 탄방동 746",
5,타임동물메디컬센터,3.2,9건,"대전 서구 둔산로 57, (지번) 둔산동 1276",042-488-2777
6,대전24시 센트럴동물병원,2.9,17건,"대전 중구 계룡로 789 1층, (지번) 용두동 119-6",042-719-7779
7,마크로24시동물병원,3.7,6건,"대전 서구 한밭대로570번길 8, (지번) 월평동 429",042-486-3375
8,24시간 대전동물메디컬센터 숲,4.4,17건,"대전 유성구 한밭대로492번길 16-8, (지번) 봉명동 664-3",042-826-7584
9,대전 예담동물병원,5.0,1건,"대전 유성구 원신흥로55번길 6-4, (지번) 원신흥동 507-1",042-822-5071
10,24시더원동물메디컬센터,3.0,2건,"대전 동구 계족로 510 1층, (지번) 용전동 43-1",042-623-8461
11,리본동물병원,4.0,4건,"대전 서구 계룡로 383 1층, (지번) 갈마동 271-28",042-489-8275
12,라온동물병원,4.0,1건,"대전 동구 대전로 446, (지번) 가오동 235-12",042-273-8660
13,충남대학교 수의과대학 부속동물병원,0.0,0건,"대전 유성구 대학로 99, (지번) 궁동 220",042-821-6704
14,유성 동물병원,3.5,2건,"대전 유성구 유성대로822번길 36-20 1층 유성동물병원, (지번) 장대동 317-13",042-822-1952
15,대전우리동물의료센터,0.0,0건,"대전 중구 계룡로 926-1, (지번) 대사동 248-365",042-222-1117
16,만년예스동물병원,2.3,6건,"대전 서구 만년로 14, (지번) 만년동 135",042-477-7575
17,에코동물병원,4.2,5건,"대전 유성구 봉명서로 11-13, (지번) 봉명동 1053-1",
