병원이름,별점,리뷰수,주소,전화,location_type
24시리본동물의료센터,4.7,6건,"부산 동래구 충렬대로 194 동림빌딩 2층, (지번) 명륜동 506-13",051-711-0006,0
다솜동물메디컬센터,4.2,16건,"부산 남구 수영로13번길 3, (지번) 문현3동 403-7",051-632-7580,0
24시휴동물의료센터,4.2,6건,"부산 부산진구 동성로 152, (지번) 전포동 876-7",051-819-6061,0
지동범동물병원,4.0,4건,"부산 금정구 부곡로 184 1,2층, (지번) 부곡동 255-4",051-515-7450,0
24시연산동물의료센터,3.5,13건,"부산 연제구 연수로 135 1층, (지번) 연산동 1953-1",051-791-0175,0
서동동물메디컬센터,4.6,11건,"부산 금정구 서동로175번길 11, (지번) 서동 204-12",051-525-7810,0
센텀동물메디컬센터 수영점,5.0,7건,"부산 수영구 연수로 407-1 2,3층, (지번) 수영동 450-11",051-746-7582,0
휴동물의료센터,5.0,3건,"부산 금정구 식물원로 11 2층, (지번) 장전동 607-37",051-513-6060,0
제일2차동물메디컬센터,5.0,2건,"부산 금정구 중앙대로 1754 기찰빌딩 1층, (지번) 부곡동 24-6",051-516-1175,0
조양래동물의료센터,2.2,11건,"부산 남구 수영로 224-1, (지번) 대연동 1746-5",051-621-8880,0
누리동물병원,3.4,5건,"부산 해운대구 송정2로13번길 46, (지번) 송정동 85-1",051-701-7599,0
UN동물의료센터,3.7,12건,"부산 남구 수영로 221, (지번) 대연동 1745-9",051-624-2475,0
큰마음반려동물센터,3.0,8건,"부산 해운대구 해운대해변로357번길 17, (지번) 중동 1262-1",070-5216-1324,0
부산동물메디컬센터,3.9,7건,"부산 연제구 거제대로 278, (지번) 거제1동 2-7",051-868-7591,0
재생동물병원,3.4,5건,"부산 동래구 충렬대로 268-1, (지번) 낙민동 288-58",051-555-4130,0
김현태김동민 동물병원,4.2,6건,부산 사하구 다대동 87,051-265-7582,0
24시센텀동물메디컬센터 연산점,4.6,10건,"부산 연제구 중앙대로 1084 1~3층, (지번) 연산동 702-10",051-711-8253,0
장산동물병원,5.0,4건,"부산 해운대구 반여로 96, (지번) 반여동 1629-5",051-529-5388,0
다온동물병원,5.0,5건,"부산 남구 수영로 345 혁신지구상가 124호~125호, (지번) 대연동 1858",051-622-2171,0
스타동물병원,5.0,5건,"부산 부산진구 전포대로 170, (지번) 전포동 362-3",051-819-7588,0
만박동물병원,3.1,7건,"부산 서구 까치고개로 257, (지번) 토성동1가 8-25",051-241-7975,0
ABC동물병원,5.0,6건,"부산 수영구 수영로 618-1, (지번) 광안동 117-10",051-761-2502,0
덕천동물의료센터,3.7,3건,"부산 북구 만덕대로 119, (지번) 덕천동 375-5",051-341-8060,0
동행동물의료센터,5.0,13건,"부산 북구 금곡대로 126, (지번) 덕천동 561-2",051-908-7575,0
사직동물의료센터,5.0,6건,"부산 동래구 아시아드대로 209 지영아이니드빌 2층, (지번) 온천동 1250-8",051-505-7578,0
유동물의료센터,4.3,4건,"부산 북구 만덕대로 41, (지번) 덕천동 381-7",051-343-7566,0
