,병원이름,별점,리뷰수,주소,전화,location_type
0,N동물의료센터 노원점,3.4,62건,"서울 노원구 노원로 408, (지번) 상계동 318-2",02-919-0075,0
1,서울동물심장병원,4.3,6건,"서울 강남구 언주로 542 ENP타워 1층, (지번) 역삼동 689-2",02-6203-7588,0
2,서울대학교 수의과대학 동물병원,4.3,9건,"서울 관악구 관악로 1, (지번) 신림동 산 56-1",02-880-8661,0
3,스마트동물병원 신사본점,4.6,5건,"서울 강남구 도산대로 213, (지번) 신사동 587-13",02-549-0275,0
4,웨스턴동물의료센터,3.8,175건,"서울 마포구 신촌로 110 웨스턴5빌딩, (지번) 노고산동 40-56",02-701-7580,0
5,24시우리들동물메디컬센터,3.5,56건,"서울 양천구 목동로 161, (지번) 신정동 1007-10",02-2642-7588,0
6,로얄동물메디컬센터,2.5,45건,"서울 중랑구 망우로 247 로얄스포츠센터 내 1층, (지번) 중화2동 207",02-494-7582,0
7,VIP동물의료센터 청담점,4.8,5건,"서울 강남구 삼성로133길 7 2~4층, (지번) 청담동 46",02-511-7522,0
8,월드펫동물병원,4.4,14건,"서울 종로구 진흥로 477-1, (지번) 신영동 1-11",02-379-7575,0
9,24시샤인동물메디컬센터,3.9,38건,"서울 송파구 송파대로 450, (지번) 송파동 15-6",02-2088-7775,0
10,24시지구촌동물메디컬센터,3.4,27건,"서울 구로구 구로중앙로31길 30 유성빌딩, (지번) 구로동 505-17",02-869-7582,0
11,스마트동물병원,3.8,4건,"서울 강남구 선릉로 418, (지번) 대치동 898",02-554-7582,0
12,수의과대학부속 동물병원,4.0,4건,"서울 광진구 능동로 120, (지번) 화양동 526-34",02-450-3664,0
13,24시 스마트동물메디컬센터,4.6,32건,"서울 은평구 은평로 93, (지번) 응암동 91-5",02-387-7582,0
14,에코동물병원,2.9,22건,"서울 송파구 동남로 161 청공빌딩 101호, (지번) 가락동 137-3",02-443-2222,0
