,병원이름,별점,리뷰수,주소,전화
0,24시부평종합동물의료센터,4.4,37건,"인천 부평구 부평대로 138 신일유스테이션 2층, (지번) 부평동 431-12",032-511-6836
1,24시포인트동물의료센터,3.5,8건,"인천 미추홀구 낙섬중로 92 1,2층, (지번) 용현동 558-16",032-882-8275
2,24시독스동물병원,1.3,15건,"인천 남동구 남동대로 912, (지번) 간석동 210-2",032-433-0075
3,24시스카이 동물의료센터 인천점,2.8,29건,"인천 남동구 남동대로799번길 8 인천구월지웰시티푸르지오 오피스텔 3층, (지번) 구월동 1608",032-715-7959
4,한양한방동물병원,4.2,5건,"인천 중구 우현로90번길 27, (지번) 용동 133",032-761-6560
5,송림동물병원,4.1,10건,"인천 동구 송림로 113 송영빌딩 2층, (지번) 송림동 49-13",032-772-8275
6,아프리카 동물의료센터,3.9,12건,"인천 부평구 장제로340번길 5 3층, (지번) 삼산동 427-5",032-508-7582
7,더블유동물의료센터,4.6,11건,"인천 서구 청라커낼로260번길 27 청라더휴커낼웨이오피스텔상가2층, (지번) 청라동 157-21",032-565-8270
8,24시소래동물병원,,,"인천 남동구 소래역남로16번길 75 더타워상가 C동 1층, (지번) 논현동 751-1",032-438-3227
9,펫홈종합동물병원,2.1,16건,"인천 미추홀구 미추홀대로 620 1층, (지번) 주안동 1471-11",032-427-7588
10,부평스카이동물의료센터 부평점,3.3,11건,"인천 부평구 부흥로 351 3층, (지번) 부평동 126-14",032-710-7533
11,중앙동물약품병원,3.0,7건,"인천 미추홀구 경인로 417-1, (지번) 주안동 72-11",032-425-3100
12,정서동물병원,4.3,10건,"인천 남동구 주안로 234 풍림아이원 주상가 112호, (지번) 간석동 935",032-422-5399
13,24시유앤미동물병원,1.0,1건,"인천 남동구 남동대로 910, (지번) 간석동 210-9",032-433-0755
14,찬샘동물병원,4.5,16건,"인천 남동구 인주대로591번길 64 타원벨라움 2층 205호, (지번) 구월동 1132",032-251-7575
15,브라운동물병원 본점,5.0,8건,"인천 미추홀구 독배로432번길 3, (지번) 숭의동 293-19",032-889-7582
16,가정동물병원,2.5,2건,"인천 서구 가정로 346, (지번) 가정1동 517-32",032-575-0833
17,세림 동물병원,4.4,10건,"인천 부평구 원적로 392, (지번) 산곡동 143-2",032-503-0075
18,루이스 동물병원,3.7,13건,"인천 남동구 백범로 232 1층, (지번) 만수동 850-5",032-710-1237
19,주주종합동물병원,3.8,9건,"인천 부평구 경인로 1069, (지번) 부개1동 301-38",032-505-7262
20,부평프라임동물병원,4.8,5건,"인천 부평구 경원대로 1442, (지번) 부평동 179-16",032-715-7587
21,길동물병원 2호점,,,"인천 서구 가정로 375 신현쇼핑 201호, (지번) 신현동 303",032-578-5119
22,펫홈종합동물병원,4.0,4건,"인천 남동구 앵고개로 944 1층, (지번) 논현동 672",032-423-7588
23,계양스카이동물병원,3.9,7건,"인천 계양구 장제로 708 한샘프라자 1층 101호, (지번) 작전동 901-4",032-275-7575
24,부평모모동물병원,4.0,5건,"인천 부평구 경원대로 1278, (지번) 부평동 274",032-524-5557
25,연수동물메디컬센터,5.0,1건,"인천 연수구 샘말로7번길 5, (지번) 연수동 600-5",032-817-5182
26,동암동물병원,0.0,0건,"인천 남동구 백범로 469, (지번) 간석4동 570-5",032-437-5535
27,신공항동물병원,4.0,4건,"인천 중구 운남동로3번길 9, (지번) 운남동 1570-2",032-751-4598
28,삼성종합동물병원,0.0,0건,"인천 서구 건지로 269, (지번) 석남2동 579-3",032-584-0075
29,계양동물메디컬센터,4.1,18건,"인천 계양구 계양대로 193, (지번) 계산동 942-24",032-555-9975
30,24시오케이동물병원,2.2,6건,"인천 연수구 랜드마크로 68 203동 2층, (지번) 송도동 311-1",032-832-7975
31,아이케어동물병원,5.0,6건,"인천 서구 청라에메랄드로102번길 10 1층, (지번) 청라동 167-1",032-564-7600
32,시민동물병원,5.0,3건,"인천 미추홀구 인주대로 413, (지번) 주안동 1483-23",032-426-4545
33,청라라임동물병원,4.4,15건,"인천 서구 청라라임로 102 102~104호, (지번) 청라동 127-2",032-563-1900
34,소망동물병원,4.4,7건,"인천 남동구 남동대로 737, (지번) 구월동 1149-5",032-434-6002
35,24시퍼스트동물의료센터,0.0,0건,"인천 미추홀구 경원대로 890 1층 101호, (지번) 주안동 929-16",032-435-6333
36,길동물병원 1호점,1.0,2건,"인천 남동구 구월로 317 1층, (지번) 만수동 889-15",032-467-1275
37,마이펫동물병원,5.0,1건,"인천 남동구 백범로 400, (지번) 간석동 216-4",032-428-8275
38,위드펫동물병원,4.0,2건,"인천 중구 하늘달빛로64번길 4, (지번) 중산동 1873-23",
39,청라24시공감동물의료센터,3.7,3건,"인천 서구 중봉대로586번길 22 엑슬루타워 B동 128호, (지번) 청라동 164-1",032-563-0094
40,아나파동물병원,5.0,9건,"인천 미추홀구 경인로 354, (지번) 주안동 505-1",032-876-7585
41,하얀기린동물병원,5.0,14건,"인천 서구 청라라임로 40 상가동 103호, (지번) 청라동 165-7",032-564-3575
42,하인츠동물병원,4.4,7건,"인천 미추홀구 독배로 305 2층, (지번) 용현동 604-5",032-204-7707
43,센트럴동물병원,4.0,7건,"인천 연수구 센트럴로 194 더샵 센트럴파크 2차 c동 128호, (지번) 송도동 23-4",032-815-7582
44,검단종합동물병원,4.0,4건,"인천 서구 완정로7번길 1 한림빌딩 1층, (지번) 마전동 1020-14",032-563-8579
45,도그앤캣동물병원,5.0,2건,"인천 부평구 경원대로 1355, (지번) 부평동 341-160",032-514-0079
46,닥터파파동물병원,1.4,10건,"인천 미추홀구 미추홀대로 533, (지번) 주안동 1309",032-863-7582
47,온누리 동물병원,5.0,1건,"인천 미추홀구 인주대로 168, (지번) 용현동 146-275",032-866-5725
48,소나무동물메디컬센터,4.3,6건,"인천 계양구 안남로519번길 4 메트하임 101호, (지번) 효성동 75-3",032-556-9990
49,짱구네동물병원,0.0,0건,"인천 부평구 평천로 356 민상빌딩 1층, (지번) 갈산동 59-5",032-511-5515
50,온누리동물병원,5.0,1건,"인천 서구 완정로 182, (지번) 마전동 909-9",032-567-2575
51,파스텔LC동물병원,3.7,3건,"인천 남동구 구월로 159 1층, (지번) 간석동 292-4",032-431-7975
52,24시송도힐동물메디컬센터,2.5,10건,"인천 연수구 컨벤시아대로 55 송도이안상가 106~108호, (지번) 송도동 2-3",032-834-7275
53,베스트동물병원,1.0,12건,"인천 강화군 강화읍 강화대로 217, (지번) 강화읍 갑곳리 519",032-934-9340
54,메이동물병원,5.0,1건,"인천 남동구 만수서로 60 필러스프라자 103호, (지번) 만수동 1118-1",032-462-0070
55,웰동물메디컬센터,1.0,2건,"인천 남동구 남동대로 757 2층, (지번) 구월동 1145-6",032-433-7582
56,학익동물병원,3.0,2건,"인천 미추홀구 한나루로 379, (지번) 학익동 214-4",032-868-2626
57,해림동물병원,4.6,13건,"인천 계양구 계양대로 81, (지번) 작전동 864-39",032-546-0079
58,이오동물병원,4.4,9건,"인천 서구 승학로 551 동곡프라자 1층, (지번) 검암동 506-1",032-710-7553
59,작전24동물병원,1.8,5건,"인천 계양구 장제로694번길 3, (지번) 작전동 925-1",032-544-0075
60,강아지와고양이나라 동물병원,2.1,7건,"인천 남동구 은봉로312번길 29-14, (지번) 논현동 605-11",032-439-3578
61,해오름동물병원,4.0,4건,"인천 부평구 장제로 199, (지번) 부평동 10-975",
62,해피동물병원,4.3,11건,"인천 남동구 논현남로 19, (지번) 논현동 619-15",032-439-8822
63,펫사랑동물병원 부평점,0.0,0건,"인천 부평구 마장로 256 산곡프라자 102호, (지번) 산곡동 194-6",032-521-0003
64,예동물병원,5.0,13건,"인천 부평구 갈월동로 13 1층, (지번) 갈산동 385-10",032-362-8111
65,보비동물병원,3.5,4건,"인천 부평구 원적로 407, (지번) 산곡동 411-5",032-524-6959
