훈련소이름,별점,리뷰수,주소,전화,location_type
독핏코리아,0.0,0건,"서울 마포구 월드컵로 29 지하 1층, (지번) 합정동 426-8",02-3144-8723,1
독핏 합정2호점,0.0,0건,"서울 마포구 희우정로1길 25 지하1층, (지번) 합정동 400-10",,1
독마더,1.0,2건,"서울 용산구 한강대로52길 19, (지번) 한강로2가 24-6",,1
메르시몬시앙,0.0,0건,"서울 서초구 동작대로 222, (지번) 방배동 764-1",02-535-0428,1
케이나인 클럽하우스,0.0,0건,"서울 용산구 회나무로 34-8, (지번) 이태원동 225-22",010-4997-3833,1
왈스반려견교육,0.0,0건,"서울 서초구 방배천로24길 29, (지번) 방배동 951-8",010-8748-6195,1
퍼피스쿨,0.0,0건,"서울 서초구 방배중앙로 185, (지번) 방배본동 761-7",02-596-3009,1
애견훈련학교,0.0,0건,"서울 용산구 보광로 90 2층, (지번) 이태원동 21-1",,1
탤런트 독스쿨,0.0,0건,"서울 서초구 명달로9길 5, (지번) 방배동 1002-1",,1
강아지학교 신사역점,0.0,0건,"서울 서초구 강남대로95길 43 2층 201호, (지번) 잠원동 30-3",070-8876-8910,1
도그스앤휴먼,0.0,0건,"서울 서초구 명달로9길 5, (지번) 방배동 1002-1",070-4010-8874,1
VORAUS,0.0,0건,"경기 광명시 범안로 670-7, (지번) 노온사동 478-12",02-2625-7100,1
펫을부탁해,0.0,0건,"서울 서초구 강남대로 305 비117호, (지번) 서초동 1338-20",070-8876-8910,1
힐링독반려견센터,0.0,0건,"경기 고양시 덕양구 통일로 210, (지번) 지축동 766-157",010-8553-9476,1
견생연구소 애오,5.0,1건,"경기 고양시 덕양구 신원로2길 49 1층, (지번) 신원동 644-4",010-9788-4654,1
시우스쿨링 백석,5.0,1건,"경기 고양시 일산동구 중앙로 1080 남정골드프라자 305-2호, (지번) 백석동 1288-2",010-7739-6683,1
바꿔줄개,0.0,0건,"경기 고양시 덕양구 서정로 66-9 2층, (지번) 도내동 769-7",031-978-7001,1
피스테일,0.0,0건,"경기 고양시 일산동구 성석로 90-1, (지번) 성석동 879-16",031-977-1208,1
노블레스독,4.0,1건,"경기 시흥시 하우로122번길 16, (지번) 대야동 5-4",031-315-9088,1
루루애견스쿨,0.0,0건,"인천 부평구 길주로494번길 26, (지번) 청천동 259-14",010-9367-1470,1
드린겐애견훈련소 2호점,1.0,1건,"경기 안산시 상록구 버대길 113, (지번) 양상동 106-1",010-8703-0390,1
힐링몽,0.0,0건,"서울 송파구 동남로4길 13 지하1층, (지번) 문정동 30",010-5958-5160,1
애견학교 바니버니,0.0,0건,"경기 고양시 덕양구 호국로 1132, (지번) 원당동 187-5",010-7921-4381,1
올바른참견,0.0,0건,"서울 강남구 영동대로 602, (지번) 삼성동 107",010-3201-9537,1
김영춘애견훈련소,0.0,0건,"서울 서초구 신흥말길 57, (지번) 내곡동 1-361",,1
일산애견스쿨,5.0,2건,"경기 고양시 일산서구 한류월드로 300 원마운트 3층, (지번) 대화동 2606",,1
한솔애견학교,0.0,0건,"경기 고양시 덕양구 흥도로 367-53, (지번) 성사동 56-1",,1
스테이영 애견훈련학교,5.0,1건,"경기 고양시 일산동구 지영로229번길 31-21, (지번) 지영동 261-3",010-2088-7515,1
핫독,0.0,0건,"경기 시흥시 하우로122번길 16, (지번) 대야동 5-4",,1
봉텐애견훈련소,0.0,0건,"경기 성남시 수정구 복정로32번길 6-8, (지번) 복정동 696-9",010-5656-5361,1
딩고코리아,3.7,3건,"경기 고양시 일산동구 일산로380번길 5-11 1층, (지번) 정발산동 1297-5",010-6477-1085,1
펫도그애견스쿨,1.0,3건,"서울 송파구 새말로 146, (지번) 문정동 99-11",,1
이삭애견훈련소 내리점,0.0,0건,"경기 화성시 봉담읍 매봉로 210, (지번) 봉담읍 내리 210",031-297-6136,1
반려견캠프N쉼터 살빛봄날 품격의숨소리,0.0,0건,"서울 노원구 상계로18길 19 1층, (지번) 상계동 176-47",,1
보듬컴퍼니 오남캠퍼스,5.0,3건,"경기 남양주시 오남읍 진건오남로667번길 64-33, (지번) 오남읍 오남리 700",1800-6358,1
엘리트애견훈련원,0.0,0건,"경기 고양시 일산동구 멱절길 302-75, (지번) 장항동 657-2",031-902-8363,1
에듀펫 독 트레이닝 클럽,0.0,0건,"서울 강동구 아리수로61길 91-14, (지번) 고덕동 407-2",02-577-6884,1
즐겨찾기반려견유치원,0.0,0건,"경기 고양시 일산동구 압도길 347-38, (지번) 장항동 656-10",,1
제이클리커아카데미,0.0,0건,"서울 성동구 광나루로11길 5-1 2층, (지번) 송정동 66-90",02-461-2059,1
하남애견훈련소,4.3,6건,"경기 하남시 대성로 151, (지번) 춘궁동 244",031-793-3315,1
50k반려견아카데미,0.0,0건,"경기 수원시 영통구 웰빙타운로36번길 46-221 1층, (지번) 이의동 1221-1",070-7543-5683,1
금강애견학교,2.8,27건,"경기 남양주시 진접읍 금강로781번길 34, (지번) 진접읍 내곡리 619-2",031-571-7775,1
블랙이글스켄넬,0.0,0건,"경기 고양시 덕양구 신평길 276, (지번) 신평동 26-98",,1
꽃피는견생,0.0,0건,"인천 미추홀구 염전로202번길 59 다온프라자3 401호, (지번) 도화동 992-2",,1
하이멍멍 교육센터,0.0,0건,"경기 안산시 단원구 광덕1로 56 로얄프라자 3층 308호, (지번) 초지동 732",031-402-8286,1
나이트레이닝센터,0.0,0건,"서울 중랑구 신내역로 213 2층, (지번) 신내동 807",010-4977-4065,1
퍼스트출장방문애견훈련소,0.0,0건,"서울 중랑구 상봉로19길 4, (지번) 면목동 89-29",02-435-7982,1
젠틀독 애견행동클리닉,0.0,0건,"경기 성남시 분당구 황새울로 307, (지번) 서현동 276-1",031-781-5557,1
초롱스쿨,0.0,0건,"경기 고양시 일산동구 강송로87번길 8-9, (지번) 백석동 1252-3",070-8970-4017,1
즐겨찾기 반려견호텔학교,0.0,0건,"경기 고양시 일산동구 압도길 347-38, (지번) 장항동 656-10",010-9031-8255,1
봄펫인터내셔널스쿨,0.0,0건,"경기 파주시 광탄면 혜음로 345, (지번) 광탄면 용미리 319-12",,1
서당개 애견훈련소,0.0,0건,경기 김포시 장기동 2035-1,,1
젠틀독,0.0,0건,"경기 성남시 분당구 장안로 39, (지번) 분당동 90-1",,1
위너스애견훈련학교,1.0,1건,"경기 광주시 오포읍 신현로12번길 30, (지번) 오포읍 신현리 742-1",031-767-6584,1
시흥반려견교육센터,0.0,0건,"경기 시흥시 서촌상가2길 14 흥보프라자 2층 204호, (지번) 정왕동 1728-4",031-319-6969,1
힐링독아카데미,0.0,0건,"경기 하남시 춘궁로141번길 102, (지번) 하사창동 121-2",,1
소통공감반려견아카데미,0.0,0건,"경기 고양시 일산서구 법곳길 157-49, (지번) 법곳동 1718",,1
오렌지애견훈련소,0.0,0건,"경기 고양시 일산동구 지영로 114, (지번) 지영동 773",031-977-6920,1
유앤아이도그존,0.0,0건,"경기 고양시 일산동구 무궁화로 34 남정시티프라자2차 4층, (지번) 장항동 778-2",,1
국제애견훈련소,0.0,0건,"경기 남양주시 경춘로 590, (지번) 일패동 772-4",,1
딩동댕 애견학교,0.0,0건,"경기 남양주시 진건읍 사릉로 235, (지번) 진건읍 사능리 105-2",,1
서울애견스쿨,0.0,0건,"경기 고양시 일산서구 송산로 132-69, (지번) 구산동 888",,1
이삭애견훈련소 분천리점,0.0,0건,"경기 화성시 봉담읍 분천길 83-38, (지번) 봉담읍 분천리 225",031-297-6136,1
애니독스쿨,0.0,0건,"경기 남양주시 진건읍 경춘북로 657, (지번) 진건읍 진관리 653-3",031-572-2166,1
정원퍼피스쿨,0.0,0건,"경기 광주시 오포읍 창뜰아랫길 13-27, (지번) 오포읍 능평리 273",,1
